uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
uoa11,North,Refugees,0.45,0.74,0.06,0.04,0.07,3,0.11,0.21,0.1,,,,102.49,39.67,22.53,0.11,0.09,0.1,7,0.28,1,6,0.25,0,,,,,75.43,0.12,,0.56,0.43,0.39,2,0.13,0.04,0.05,0.1,0.11,0.05,,,0.11,0.26,,,,,,,,0.13,0.12,,,0.06,,,,,,,,0.78,,,,,,,,,,,,,,,11.52,4.43,,9.17,0.09,0.21,0.05,0.14,0.03,,6.39,0.23,0.2,0.35,0.18,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,0.09,0.2,,,,,,,,,,6.77,1,0.02,0.24,12.75,,,,0.13,,,0.16,0.12,,,,,,0.05,,8843.2,143179.27,14.56,0.89,0.76,2.2,0.76,,8.37,34.34,,0.19,,0.13,0.13,,0.12,,0.07,0.03,0.01,0.4,1,0.85,0.97,0.93,0.78,1,0.07,0.04,1,0.02,0.07,0.52,0.57,0.29,,,,,,,,,,,,,,,,,
uoa12,South,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,0.07,0,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,3.01,0.76,,,,,,,,,,,,,0.01,0.01,,,,,,,,0.06,0.09,,,,,0.58,,,,,,,,,,,,,,,,,,7.16
uoa13,North,Refugees,0.62,,,0.06,0.09,,,,,,,,,,,,,,6,0.42,,3,,,,,,,47.58,,,,,,,,,,0.27,,,,,,,0.06,,,,,,,,,,69.67,,,,,,,,,,,,,,,,,,,,,,,,,,8.97,,0.09,,,,,,,0.2,,,,,,,,,,,,0.94,,,,,,,,,,276.87,,,,,,1,,,,0.18,,,,,0.59,,,,,4.92,1,,,34.93,,,,,,,,,,0.17,,,,0.05,,,163671.64,,,,,0.77,,,,,,0.74,,,,,,,0.01,,,,,,,,1,0.06,,,,,0.51,,0.34,,,,,0.34,,,,,,,,,,,,
uoa14,East,IDPs,,0.81,0.05,,,,,,,,,,52.13,,,,,,4,,,,,,,,,,,,,,,,1,0.08,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,340.94,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76,,,,0.71,,,,,,,,,,,,,0.01,,,,0.91,,,,,,,,,,,,,,,,0.12,,,,,,,,0.07,0.25,0.16,,,
uoa15,South,Hosts,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,104.45,,,,,,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,14.29,5.34,7.55,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,5.67,,,0.27,,,,,,,,,,,,,,,0.05,,,,,,,,0.59,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,0.46,0.29,,,,,,,,,,,,,0.2,,,,3.63
uoa16,Centre,Refugees,,,,0.07,,2,,,,,,,,54.32,31.37,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0.25,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,0.12,,,135616.96,,,,,,,8.67,,,,,,,,,,,0.02,0.01,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.35,,,
uoa17,West,Hosts,0.38,0.96,0.08,0.02,0.08,2,,,,,,,56.96,64.88,12.23,0.23,,,3,0.68,,3,0.16,,,,,,80.43,,0.44,0.08,0.06,0.07,5,0.35,0.3,0.18,0.63,0.4,0.28,,,0.34,0.74,0.06,0,,,,,,0.69,0.31,0.08,57.7,0.34,,,0.12,,,,,0.17,0.3,0.73,,,0.05,0.11,0.09,,,,,,,,11.67,4.92,8.34,7.16,0.08,0.26,0.07,0.11,0.03,0.26,7,0.15,,0.28,0.13,,0.23,0.16,,,,,,0.8,13.91,29.74,1,,,,,,,204.15,411.28,0.26,,52.07,,1,,,,0.21,29.2,,,0.82,0.54,,,,,6.14,1,0.01,0.26,16.33,,,,,0.12,,0.33,0.08,0.14,0.34,0.67,0.79,,0.06,,5453.16,59665.2,19.63,0.99,,1.48,0.76,,7.27,34.42,,,0.69,,,0.17,0.05,0,,0.02,0.01,0.26,0.89,0.94,,,,1,0.04,0.08,1,,,0.59,0.59,0.36,,,,0.15,0.29,0.17,0.18,,,,,0.13,0.18,0.14,0.14,,2.84
uoa18,East,Hosts,0.37,1.02,0.06,0.06,0.05,1,0.11,,0.11,,,,87.61,53.55,33.28,0.09,,,3,0.42,,4,0.16,,,,,,30.6,,0.63,0.13,0.1,0.08,5,0.36,0.33,0.16,0.77,0.3,0.32,,,0.32,0.64,0.09,0,0.05,,,,,0.74,0.33,0.08,49.84,0.36,,,,,,,,0.1,0.35,0.73,,,0.07,0.05,0.13,,,0.07,,,,,13.16,5.48,9.43,,0.06,0.32,0.1,0.1,0.03,0.22,6.65,0.25,,,,,0.21,0.26,,0.16,,,,0.73,,,,,,,,,,194.44,344.46,0.62,,49.65,0.07,0,,0.19,0.11,0.23,28.56,,,,0.48,,1,,,6.48,1,0.02,0.11,15.86,0.7,,,,,0.09,0.28,0.04,0.34,0.33,,,,0.04,0.85,4773.08,135311.53,17.71,,,3.48,0.66,,8.54,29.33,0.11,,0.56,,0.12,0.1,0.06,0,,0.01,0.01,0.39,1,0.82,,0.92,0.91,1,0.03,0.04,1,0.02,,0.42,0.55,0.32,,,,0.12,0.12,0.1,0.29,0.3,,0.21,,0.08,0.18,0.32,0.06,,5.61
uoa19,South,Hosts,0.2,1.39,0.06,0.05,0.06,2,0.21,,,,,,105,39.83,22.59,,,0.12,3,0.54,,2,0.31,,,,,,42.04,,0.28,0.11,0.09,0.12,5,0.38,0.31,0.16,0.57,0.28,0.37,,,0.4,0.74,0.14,1,,0.14,,,,0.63,0.37,0.13,33.79,0.37,,,,0.27,,,,0.15,0.32,0.61,,,0.14,0.05,0.05,,,,,,,,14.92,5.41,9.36,8.38,0.11,0.22,,0.09,0.06,0.33,5.76,0.28,,0.34,,,0.27,0.1,0.16,,,,,0.77,,,,0,,,,,,325.65,692.04,0.25,0.18,51.74,,1,,,,0.21,14.5,,,0.33,0.52,,,,,5.97,1,0.02,0.23,18,,,,0.2,,0.08,0.2,0.09,0.23,0.12,,,0.64,0.06,0.85,4803.13,135097.84,14.62,,,2.73,0.69,,8.56,28.48,0.19,,0.66,,,0.14,,0,0.05,0.03,0.01,0.34,1,0.8,1,0.88,0.82,1,0.05,0.06,,0.02,,0.57,0.51,0.33,,,,0.09,0.3,0.26,,,,0.3,,0.05,0.17,0.34,0.16,,4.49
uoa20,North,Hosts,0.21,1.25,0.05,0.04,0.04,1,,0.11,0.07,,,,55.56,24.28,13.62,0.19,0.12,0.07,2,0.49,1,2,0.28,,,,,,70.67,0.16,0.58,0.15,0.07,0.07,5,0.35,0.38,0.19,0.65,0.38,0.39,,,0.39,0.57,0.07,1,,,,,,0.71,0.29,0.13,51.88,0.3,45.09,,0.16,,,,,0.13,0.23,0.72,,,0.06,0.04,0.09,,,0.04,,,,,12.67,4.45,9.02,,0.04,0.18,,0.08,0.03,0.27,7,0.25,,,,,0.13,0.22,,0.31,,,,0.92,,11.75,,0,,,,,,336.38,540.26,0.23,,35.61,,0,,,0.12,0.17,,0,,,0.58,,,,,5.54,1,0.03,0.13,30.38,,0.48,,0.19,,,0.13,0.09,0.1,0.13,,,,0.11,0.11,8407.81,53131.45,15.82,0.91,0.69,3.4,0.67,,9.97,31.65,,,0.73,,,0.15,0.05,1,,0.03,0.01,0.35,1,0.79,,0.75,,1,0.03,0.1,,,0.07,0.45,0.51,0.28,,,,0.16,0.21,0.11,0.24,,0.13,,1,0.05,0.12,0.25,0.06,,5.53
uoa21,North,Hosts,0.56,1.05,0.09,0.02,0.04,3,0.2,,,,,,70.8,36.7,20.76,,0.12,,6,0.61,1,3,0.11,0,,,,,92.8,,0.59,0.08,0.1,0.09,5,0.36,0.36,0.19,0.79,0.37,0.37,,,0.34,0.76,0.13,0,,,,,,0.7,0.3,0.12,55.71,0.3,,,,,,,,0.1,0.15,0.65,,,0.12,0.11,0.05,,,,,0.11,,,11.31,5.31,7.81,9.44,0.09,0.31,0.08,0.07,0.04,0.35,7,0.13,,,0.32,,0.24,0.23,0.16,,,,,0.98,,,,,,,,,,261.43,397.91,0.39,,53.21,,0,,0.17,,0.15,,,,,0.45,,,,,5.47,1,,0.26,33.48,,,,,0.06,,0.17,0.08,0.2,0.23,0.65,,,0.08,0.04,3317.39,114323.88,19.6,,,2.77,0.79,0.19,8.6,32.6,,,0.77,,,0.1,0.13,0,0.11,0.03,0.01,0.31,1,0.91,,,0.79,1,0.05,0.05,,0.02,0.03,0.53,0.56,0.35,,,,0.12,0.28,0.19,,0.12,0.05,,,0.11,0.22,0.11,0.06,0.14,0.69
uoa22,East,Hosts,0.69,0.5,0.06,0.03,0.08,2,,0.15,0.08,,,,124.98,49.48,20.42,,,0.13,4,0.35,1,3,0.26,1,,,,,42.29,,,0.12,0.12,0.12,5,0.31,0.3,0.18,0.58,0.38,0.37,,,0.36,0.67,0.09,0,,,,,,0.79,0.4,0.06,51.4,0.39,,0.12,,0.23,,,,0.14,0.19,0.76,,,0.13,0.13,0.11,,,,0.07,,,,14.35,5.5,9.7,,0.11,0.28,0.04,0.05,0.07,0.19,6.22,0.14,,0.24,0.3,,0.12,0.23,0.33,,,,,0.7,13.61,,1,,,,,,,127.34,549.94,0.4,0.13,66.8,,0,,,,0.22,25.05,,,,0.49,,,,,5.4,1,,0.25,19.02,,,,0.19,,0.07,0.27,0.13,0.22,0.29,,,,0.07,0.78,3827.44,86978.5,16.13,,,1,0.61,0.2,9.13,31.22,,,0.76,,0.04,0.16,,1,0.1,0.01,0.01,0.39,0.87,0.95,,,,1,0.02,0.09,1,,0.09,0.5,0.57,0.29,,,,0.08,0.31,0.29,,0.2,,,1,0.08,0.12,0.19,0.16,0.27,5.34
uoa23,East,IDPs,0.67,0.67,0.1,0.06,0.08,2,,0.12,,,,,127.33,25.45,29.95,,,0.08,5,0.35,0,2,0.33,0,,,,,68.49,,,0.08,0.06,0.09,5,0.38,0.33,0.18,0.78,0.29,0.36,,,0.38,0.62,0.06,0,,,,,,0.73,0.3,0.08,37.91,0.31,,,,,,,,0.1,0.19,0.72,,,0.08,0.06,0.12,,,,0.14,,,,12.69,5.45,9.58,,0.04,0.33,,0.05,0.05,0.27,6.08,0.27,,,,,0.27,0.27,,0.16,,,,0.79,,,,0,,,,,,300.14,301.67,0.4,0.21,50.28,,0,,0.18,,0.22,,,,,0.59,,,,,6.47,0.98,0.01,0.16,14.88,,,,,,,0.26,0.1,0.26,0.24,,,,0.08,0.19,4542.99,61880.2,16.46,0.9,,3.49,0.61,,8.08,35.56,0.13,,0.68,0.28,,0.11,0.05,1,0.12,0.01,0.01,0.42,0.94,0.77,1,0.76,,1,0.03,0.05,,0.01,,0.57,0.56,0.33,,,,0.05,0.19,0.29,,0.22,0.16,0.31,,0.1,0.23,0.31,0.17,,6.44
uoa24,North,IDPs,0.49,0.93,0.07,0.04,0.08,1,,,,,,,139.73,45.56,32.18,,0.19,,2,0.55,,5,0.31,0,,,,,97.85,0.13,0.14,0.12,0.09,0.08,5,0.35,0.29,0.19,0.68,0.31,0.39,,,0.32,0.79,0.13,0,0.05,0.13,,,,0.62,0.29,0.05,22.31,0.36,48.27,,0.14,,,,,0.19,0.14,0.58,,,0.05,0.12,0.08,,,,,0.08,,,2.81,1.36,8.79,2.47,0.36,0.92,0.3,0.37,0.17,0.33,0.87,0.72,0.45,0.71,0.74,,0.12,0.28,0.23,0.17,,,,0.82,30.48,,,,,,,,,251.32,419.94,0.43,0.48,46.07,0.15,0,0.28,,0.39,0.73,,,,,0.57,0.11,,,,0.97,0.34,0.09,0.77,89.47,,0.93,,0.56,0.04,,0.87,0.37,0.17,0.16,,0.65,,0.34,,8809.96,111449.39,17.97,0.95,,1.88,0.67,,7.4,33.82,,,0.61,,,0.12,,1,,0.01,0.01,0.28,0.93,0.89,0.88,0.93,0.81,1,0.05,0.09,,,0.04,0.51,0.5,0.3,,,,0.06,0.24,0.26,,0.12,,,1,0.11,0.09,0.21,0.06,,4.1
uoa25,North,Hosts,0.39,1.27,0.1,0.05,0.1,1,0.08,,,,,,106.66,38.22,19.63,,,0.11,5,0.66,1,6,0.3,,,,,,33,,0.33,0.09,0.07,0.11,5,0.3,0.34,0.15,0.77,0.33,0.32,,,0.29,0.6,0.13,0,,,,,,0.69,0.33,0.11,24.64,0.33,41.28,0.06,0.24,0.1,,,,0.11,0.16,0.71,,,0.13,0.12,0.1,,,,,0.13,,,1.82,0.62,7.96,1.9,0.31,0.83,0.38,0.39,0.17,0.14,1.08,0.75,0.6,0.85,0.73,,0.23,0.16,0.2,,,,,0.81,,17.08,1,,,,,,,135.27,677.7,0.65,0.58,28.68,,0,,0.13,0.33,0.68,27.52,,,,0.52,,,,,0.9,0.17,0.08,0.92,73.98,,0.11,,0.6,,0.06,0.87,0.29,0.33,0.1,0.8,0.74,0.59,0.33,,6506.03,125298.32,17.98,0.73,,2.8,0.64,,7.24,37.12,,,0.7,0.21,,0.11,0.11,0,0.13,0.01,0.01,0.18,1,0.78,,0.74,,1,0.02,0.05,1,,0.06,0.51,0.5,0.29,,,,0.15,0.21,0.28,,0.31,,,,0.13,0.11,0.19,0.1,,3.12
uoa26,East,IDPs,0.35,0.63,0.05,0.05,0.1,1,0.16,,,,,,95.89,44.2,15.69,,,,4,0.21,,4,0.12,,,,,,49.22,,,0.06,0.12,0.06,5,0.39,0.28,0.19,0.68,0.35,0.37,,,0.32,0.58,0.09,1,0.06,,,,,0.77,0.31,0.05,51.91,0.3,63.38,0.13,0.21,0.25,,,,0.09,0.32,0.72,,,0.06,0.11,0.07,,,0.04,,,,,2.34,1.04,8.4,2.11,0.33,0.87,0.3,0.3,0.2,0.32,1.5,0.79,0.56,0.89,0.77,,0.2,0.25,,0.1,,,,0.8,14.8,,1,0,,,,,,246.29,418.78,0.22,0.53,30.45,,0,,,0.31,0.77,,,,,0.52,0.13,1,,,1.23,0.16,0.08,0.91,86.35,0.3,0.41,,0.54,,0.09,0.9,0.32,0.3,0.29,0.65,0.66,0.69,0.29,,5498.23,94764.44,16.77,0.74,,3.27,0.64,0.1,7.23,38.68,0.1,,0.6,0.21,,0.13,,0,0.13,0.02,0.01,0.4,0.91,0.95,1,,0.86,1,0.05,0.08,1,,,0.58,0.51,0.38,,,,0.06,0.33,0.34,,,,,,0.07,0.15,0.18,0.15,0.15,3.49
uoa27,Centre,IDPs,0.26,1.27,0.05,0.05,0.09,1,,,0.15,,,,45.5,21.24,29.55,,0.18,,4,0.62,,7,0.17,,,,,,88.29,0.15,0.91,0.06,0.05,0.12,5,0.36,0.4,0.14,0.71,0.3,0.36,,,0.39,0.62,0.04,1,,0.09,,,,0.67,0.28,0.11,66.25,0.39,58.71,,0.26,0.15,,,,0.17,0.36,0.74,,,0.1,0.06,0.08,,,0.09,0.12,,,,2.65,0.75,8.94,1.85,0.3,0.84,0.34,0.31,0.15,0.28,1.46,0.73,0.46,0.78,0.88,,0.25,0.24,,0.31,,,,0.9,,,,0,,,,,,349.48,461.98,0.35,0.56,62.1,,1,0.17,0.11,0.32,0.58,,,,,0.43,,,,,1.08,0.19,0.08,0.84,78.96,0.26,,,0.55,0.14,,0.96,0.31,0.29,0.18,,,,0.37,,9259.07,60797.04,18.56,,,2.35,0.64,0.08,9.94,33.68,,,0.75,,,0.11,,0,,0.03,0.01,0.41,0.91,0.7,,,,1,0.03,0.07,1,,,0.59,0.46,0.4,,,,0.15,0.23,0.35,0.13,,0.06,,,0.05,0.24,0.18,0.07,,3.45
uoa28,Centre,IDPs,0.27,0.48,0.04,0.06,0.08,2,0.11,,,,,,127.28,52.22,26.42,,0.1,,6,0.28,,6,0.12,,,,,,47.3,0.16,,0.11,0.12,0.1,5,0.39,0.36,0.15,0.69,0.28,0.36,,,0.32,0.68,0.13,0,,0.12,,,,0.73,0.39,0.12,27.16,0.3,,,,0.2,,,,0.17,0.3,0.79,,,0.04,0.14,0.05,,,,0.06,0.26,,,2.38,0.72,8.51,1.39,0.38,0.9,0.33,0.32,0.15,0.23,1.46,0.79,0.56,0.88,0.89,,0.12,0.25,0.21,0.27,,,,1,30.05,,,,,,,,,295.05,343.13,0.46,0.42,25.23,,0,,0.07,0.35,0.67,,,,,0.51,0.18,,,,1.62,0.16,0.1,0.8,89.9,,0.41,,0.54,0.06,0.13,0.96,0.32,0.35,0.22,,0.67,,0.28,,5996.49,131403.18,15.7,,,3,0.63,,9.44,36.21,0.22,0.1,0.63,,,0.08,,0,,0.03,0.01,0.47,1,0.88,,0.93,0.89,1,0.02,0.1,,,,0.58,0.43,0.34,,,,0.11,0.25,0.29,,,0.15,0.11,,0.14,0.26,0.31,0.08,,3.58
