uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
SS0202,SS02,IDPs,0.59,1.21,0.09,0.06,0.06,2,0.16,0.18,0.11,,,,57.88,62.94,22.43,0.15,0.12,0.07,5,0.68,0,5,0.17,1,,,,,59.51,0.14,,0.45,0.38,0.44,3,0.06,0.11,0.06,0.2,0.08,0.1,,,0.08,0.23,,,,,,,,0.19,0.06,,,0.1,,,,,,,,0.78,,,,,,,,,,,,,,,10.53,5.36,,7.34,0.11,0.13,0.11,0.13,0.03,,7,0.13,0.2,0.16,0.13,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,0.09,0.17,,,,,,,,,,5.21,1,0.01,0.18,28.51,,,,0.2,,,0.35,0.07,,,,,,0.13,,7123.17,126868.45,19.33,0.99,0.66,2.35,0.59,,8.35,31.07,,0.25,,0.09,0.12,,0.11,,0.05,0.03,0.01,0.31,1,0.84,1,0.86,0.77,1,0.06,0.05,1,0.02,0.09,0.51,0.51,0.32,,,,,,,,,,,,,,,,,
SS0203,SS02,Refugees,,1.39,0.05,,,,,,,,,,,36.69,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.64,,,0.08,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,7.89,,,,,,,,,,,,0.01,0.43,,,,,,,,,,,,0.45,0.49,,,,,,,,,,,,,0.12,0.25,,0.16,,
SS0204,SS02,IDPs,,,,,,,,,,,,,129.54,56.64,30.89,,,,,,,6,0.29,,,,,,,,,,,,2,0.08,0.05,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,0.62,,,,,,,,,,,,,,5.99,,,,,,,,,,,,,,,,0.21,,,,,,0.85,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,6.58,1,,,,,,,,,,,0.14,0.22,0.34,,,,0.04,,5751.37,,19.98,,,,,,,31.51,,,0.58,,,,,1,,,,0.45,,,,,,1,,,,,,0.43,,,,,,,,0.2,,,,,,0.12,,0.23,,,4
SS0205,SS02,Refugees,0.69,,,,,,,,,,,,,,,,,,,0.41,,3,,,,,,,,,,,0.37,,,0.08,,,,,,,,,,,,,,,,,,0.04,0.08,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,,,0.34,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.01,,1,,,,,,,,,,,,0.45,,,,,,,0.27,,,,,,,,,,,
SS0206,SS02,Refugees,0.5,,,0.03,0.09,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0.23,0.14,,,,,,,,,,,,,,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.25,0.21,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,,,,,,,,,,,,,0.07,,5733.16,,18.18,,,,,,,,,,,,,0.06,,,,,,,0.89,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,1.59
SS0207,SS02,Hosts,0.63,,,,0.07,,,,,,,,,42.64,,,,,,,,,,,,,,,103.07,,,,0.43,,2,0.13,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.94,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,6.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,,,,,,,,,1,,,0.01,,,,,,,1,,,,,,,,0.32,,,,0.15,,0.12,,,,,,,,,,,
SS0208,SS02,IDPs,0.64,0.84,0.06,0.04,0.03,1,,0.31,,,,,90.72,56.05,12.63,0.19,,0.11,4,0.48,,4,0.14,,,,,,36.68,0.18,,0.1,0.06,0.12,5,0.31,0.31,0.19,0.72,0.35,0.32,,,0.33,0.6,0.05,0,,,,,,0.61,0.35,0.07,69.01,0.28,,,0.12,,,,,0.2,0.28,0.63,,,0.08,0.12,0.09,,,,,0.12,,,13.65,5.62,8.82,,0.05,,,0.13,0.06,0.21,6.23,0.16,,0.11,0.13,,0.21,0.13,0.28,0.26,,,,0.95,33.87,28.4,0,,,,,,,201.93,514.16,0.54,0.08,27.82,0.18,0,,,,0.16,32.83,,,,0.55,,,,,5.85,1,0.03,0.29,14.88,,,,,,,0.19,0.08,0.11,0.26,0.67,,,0.04,,8417.23,162675.02,16.24,0.98,0.67,1.59,0.79,,7.62,33.7,0.1,,0.65,,,0.07,,1,0.09,0.03,0.01,0.33,1,1,,0.74,0.86,1,0.05,0.06,1,,,0.53,0.51,0.32,,,,0.14,0.14,0.17,,,,,,0.12,0.23,0.17,0.08,0.32,3.53
SS0301,SS03,Refugees,0.56,1.33,0.07,0.03,0.08,2,0.14,0.17,,,,,84.21,56.47,17.41,0.09,0.13,0.07,4,0.54,,3,0.12,,,,,,79.08,0.13,,0.1,0.07,0.08,5,0.39,0.29,0.18,0.74,0.36,0.33,,,0.35,0.71,0.08,0,,0.07,,,,0.64,0.32,0.09,38.02,0.3,63.04,,,,,,,0.15,0.32,0.68,,,0.11,0.08,0.13,,,0.12,,0.11,,,14.62,4.42,7.87,,0.09,,,0.12,0.05,0.15,6.29,0.26,0.15,,0.22,,0.17,0.25,,,,,,0.99,,,,0,,,,,,125.54,689.29,0.43,,44.09,0.1,1,,,0.05,0.14,,1,,0.72,0.56,0.29,,,,6.02,1,,0.2,29.81,,,,0.1,0.06,0.11,0.25,0.08,0.31,0.16,,,0.79,0.13,,9392.82,173870.76,14.05,0.96,0.72,2.55,0.76,,9.97,33.07,,,0.59,0.11,,0.05,,0,,0.02,0.01,0.2,0.9,0.99,0.87,,,1,0.05,0.04,,0.02,0.04,0.43,0.42,0.38,,,,0.07,0.27,0.21,0.28,0.25,0.05,0.29,1,0.11,0.12,0.21,0.15,0.22,7.12
SS0302,SS03,Hosts,0.43,1.1,0.05,0.03,0.03,3,0.14,0.17,0.21,,,,103.73,52.54,26.25,0.18,,,2,0.59,1,6,0.12,,,,,,77.42,0.16,0.28,0.11,0.09,0.12,5,0.38,0.31,0.16,0.57,0.28,0.37,,,0.4,0.74,0.14,1,,0.14,,,,0.63,0.37,0.13,33.79,0.37,,,,0.27,,,,0.15,0.32,0.61,,,0.14,0.05,0.05,,,,,,,,14.92,5.41,9.36,8.38,0.11,0.22,,0.09,0.06,0.33,5.76,0.28,,0.34,,,0.27,0.1,0.16,,,,,0.77,,,,0,,,,,,325.65,692.04,0.25,0.18,51.74,,1,,,,0.21,14.5,,,0.33,0.52,,,,,5.97,1,0.02,0.23,18,,,,0.2,,0.08,0.2,0.09,0.23,0.12,,,0.64,0.06,0.85,4803.13,135097.84,14.62,,,2.73,0.69,,8.56,28.48,0.19,,0.66,,,0.14,,0,0.05,0.03,0.01,0.34,1,0.8,1,0.88,0.82,1,0.05,0.06,,0.02,,0.57,0.51,0.33,,,,0.09,0.3,0.26,,,,0.3,,0.05,0.17,0.34,0.16,,4.49
SS0303,SS03,Hosts,0.29,0.43,0.09,0.03,0.06,1,0.18,0.11,0.07,,,,55.56,24.28,13.62,0.19,0.12,0.07,2,0.49,1,2,0.28,,,,,,70.67,0.16,0.58,0.15,0.07,0.07,5,0.35,0.38,0.19,0.65,0.38,0.39,,,0.39,0.57,0.07,1,,,,,,0.71,0.29,0.13,51.88,0.3,45.09,,0.16,,,,,0.13,0.23,0.72,,,0.06,0.04,0.09,,,0.04,,,,,12.67,4.45,9.02,,0.04,0.18,,0.08,0.03,0.27,7,0.25,,,,,0.13,0.22,,0.31,,,,0.92,,11.75,,0,,,,,,336.38,540.26,0.23,,35.61,,0,,,0.12,0.17,,0,,,0.58,,,,,5.54,1,0.03,0.13,30.38,,0.48,,0.19,,,0.13,0.09,0.1,0.13,,,,0.11,0.11,8407.81,53131.45,15.82,0.91,0.69,3.4,0.67,,9.97,31.65,,,0.73,,,0.15,0.05,1,,0.03,0.01,0.35,1,0.79,,0.75,,1,0.03,0.1,,,0.07,0.45,0.51,0.28,,,,0.16,0.21,0.11,0.24,,0.13,,1,0.05,0.12,0.25,0.06,,5.53
SS0304,SS03,Hosts,0.34,1.12,0.08,0.06,0.03,1,,0.3,,,,,116.14,35.4,18.35,,,0.08,7,0.64,,3,0.35,0,,,,,40.59,0.19,,0.09,0.09,0.06,5,0.34,0.3,0.18,0.71,0.37,0.4,,,0.37,0.73,0.09,1,,,,,,0.71,0.39,0.1,26.47,0.38,,0.11,,,,,,0.13,0.18,0.58,,,0.08,0.12,0.11,,,0.14,,0.11,,,11.31,5.31,7.81,9.44,0.09,0.31,0.08,0.07,0.04,0.35,7,0.13,,,0.32,,0.24,0.23,0.16,,,,,0.98,,,,,,,,,,261.43,397.91,0.39,,53.21,,0,,0.17,,0.15,,,,,0.45,,,,,5.47,1,,0.26,33.48,,,,,0.06,,0.17,0.08,0.2,0.23,0.65,,,0.08,0.04,3317.39,114323.88,19.6,,,2.77,0.79,0.19,8.6,32.6,,,0.77,,,0.1,0.13,0,0.11,0.03,0.01,0.31,1,0.91,,,0.79,1,0.05,0.05,,0.02,0.03,0.53,0.56,0.35,,,,0.12,0.28,0.19,,0.12,0.05,,,0.11,0.22,0.11,0.06,0.14,0.69
SS0305,SS03,IDPs,0.33,1.38,0.04,0.04,0.04,2,,,0.1,,,,52.32,26.59,31.24,,,,4,0.22,,4,0.17,1,,,,,52.36,,0.71,0.07,0.1,0.12,5,0.4,0.4,0.15,0.62,0.3,0.36,,,0.29,0.75,0.11,1,,,,,,0.65,0.4,0.13,67.75,0.4,51.4,,,0.25,,,,0.13,0.21,0.74,,,0.09,0.06,0.12,,,,,,,,13.29,4.81,7.84,,0.13,,,0.11,0.06,0.13,7,0.12,0.08,,0.16,,0.14,0.26,0.24,0.3,,,,0.76,,33.2,,0,,,,,,136.08,597.05,0.31,,46.1,0.16,0,0.22,,,0.12,,,,,0.54,0.25,,,,6.27,1,,0.24,16.01,,,,,0.09,,0.11,0.13,0.31,0.12,0.73,,,0.12,,6364.96,123907.05,15.84,0.94,0.63,1.89,0.79,,7.01,30.28,0.2,,0.62,,,0.15,,0,0.13,0.03,0.01,0.14,1,0.75,1,0.95,,1,0.04,0.1,1,0.01,,0.43,0.56,0.33,,,,0.15,0.13,0.15,,,,0.2,,0.13,0.12,0.26,0.11,0.19,7.16
SS0306,SS03,Hosts,0.53,1.07,0.07,0.05,0.1,1,,,,,,,82.69,64.31,12.9,0.16,,0.12,6,0.53,0,5,0.18,0,,,,,34.15,,0.29,0.11,0.08,0.09,5,0.29,0.34,0.15,0.77,0.33,0.37,,,0.39,0.59,0.11,1,0.06,0.1,,,,0.73,0.37,0.06,39.38,0.32,66.37,,,,,,,0.1,0.19,0.72,,,0.08,0.06,0.12,,,,0.14,,,,12.69,5.45,9.58,,0.04,0.33,,0.05,0.05,0.27,6.08,0.27,,,,,0.27,0.27,,0.16,,,,0.79,,,,0,,,,,,300.14,301.67,0.4,0.21,50.28,,0,,0.18,,0.22,,,,,0.59,,,,,6.47,0.98,0.01,0.16,14.88,,,,,,,0.26,0.1,0.26,0.24,,,,0.08,0.19,4542.99,61880.2,16.46,0.9,,3.49,0.61,,8.08,35.56,0.13,,0.68,0.28,,0.11,0.05,1,0.12,0.01,0.01,0.42,0.94,0.77,1,0.76,,1,0.03,0.05,,0.01,,0.57,0.56,0.33,,,,0.05,0.19,0.29,,0.22,0.16,0.31,,0.1,0.23,0.31,0.17,,6.44
SS0307,SS03,Hosts,0.47,0.97,0.07,0.04,0.06,2,0.17,,,,,,139.73,45.56,32.18,,0.19,,2,0.55,,5,0.31,0,,,,,97.85,0.13,0.14,0.12,0.09,0.08,5,0.35,0.29,0.19,0.68,0.31,0.39,,,0.32,0.79,0.13,0,0.05,0.13,,,,0.62,0.29,0.05,22.31,0.36,48.27,,0.14,,,,,0.19,0.14,0.58,,,0.05,0.12,0.08,,,,,0.08,,,2.81,1.36,8.79,2.47,0.36,0.92,0.3,0.37,0.17,0.33,0.87,0.72,0.45,0.71,0.74,,0.12,0.28,0.23,0.17,,,,0.82,30.48,,,,,,,,,251.32,419.94,0.43,0.48,46.07,0.15,0,0.28,,0.39,0.73,,,,,0.57,0.11,,,,0.97,0.34,0.09,0.77,89.47,,0.93,,0.56,0.04,,0.87,0.37,0.17,0.16,,0.65,,0.34,,8809.96,111449.39,17.97,0.95,,1.88,0.67,,7.4,33.82,,,0.61,,,0.12,,1,,0.01,0.01,0.28,0.93,0.89,0.88,0.93,0.81,1,0.05,0.09,,,0.04,0.51,0.5,0.3,,,,0.06,0.24,0.26,,0.12,,,1,0.11,0.09,0.21,0.06,,4.1
SS0308,SS03,Hosts,0.23,0.77,0.1,0.07,0.08,3,0.12,0.31,,,,,106.66,38.22,19.63,,,0.11,5,0.66,1,6,0.3,,,,,,33,,0.33,0.09,0.07,0.11,5,0.3,0.34,0.15,0.77,0.33,0.32,,,0.29,0.6,0.13,0,,,,,,0.69,0.33,0.11,24.64,0.33,41.28,0.06,0.24,0.1,,,,0.11,0.16,0.71,,,0.13,0.12,0.1,,,,,0.13,,,1.82,0.62,7.96,1.9,0.31,0.83,0.38,0.39,0.17,0.14,1.08,0.75,0.6,0.85,0.73,,0.23,0.16,0.2,,,,,0.81,,17.08,1,,,,,,,135.27,677.7,0.65,0.58,28.68,,0,,0.13,0.33,0.68,27.52,,,,0.52,,,,,0.9,0.17,0.08,0.92,73.98,,0.11,,0.6,,0.06,0.87,0.29,0.33,0.1,0.8,0.74,0.59,0.33,,6506.03,125298.32,17.98,0.73,,2.8,0.64,,7.24,37.12,,,0.7,0.21,,0.11,0.11,0,0.13,0.01,0.01,0.18,1,0.78,,0.74,,1,0.02,0.05,1,,0.06,0.51,0.5,0.29,,,,0.15,0.21,0.28,,0.31,,,,0.13,0.11,0.19,0.1,,3.12
SS0309,SS03,IDPs,0.46,0.7,0.05,0.03,0.07,3,0.09,,,,,,118.41,47.94,22.1,0.18,,,4,0.21,,4,0.12,,,,,,49.22,,,0.06,0.12,0.06,5,0.39,0.28,0.19,0.68,0.35,0.37,,,0.32,0.58,0.09,1,0.06,,,,,0.77,0.31,0.05,51.91,0.3,63.38,0.13,0.21,0.25,,,,0.09,0.32,0.72,,,0.06,0.11,0.07,,,0.04,,,,,2.34,1.04,8.4,2.11,0.33,0.87,0.3,0.3,0.2,0.32,1.5,0.79,0.56,0.89,0.77,,0.2,0.25,,0.1,,,,0.8,14.8,,1,0,,,,,,246.29,418.78,0.22,0.53,30.45,,0,,,0.31,0.77,,,,,0.52,0.13,1,,,1.23,0.16,0.08,0.91,86.35,0.3,0.41,,0.54,,0.09,0.9,0.32,0.3,0.29,0.65,0.66,0.69,0.29,,5498.23,94764.44,16.77,0.74,,3.27,0.64,0.1,7.23,38.68,0.1,,0.6,0.21,,0.13,,0,0.13,0.02,0.01,0.4,0.91,0.95,1,,0.86,1,0.05,0.08,1,,,0.58,0.51,0.38,,,,0.06,0.33,0.34,,,,,,0.07,0.15,0.18,0.15,0.15,3.49
SS0310,SS03,Refugees,0.5,0.53,0.1,0.04,0.07,3,0.19,,0.15,,,,45.5,21.24,29.55,,0.18,,4,0.62,,7,0.17,,,,,,88.29,0.15,0.91,0.06,0.05,0.12,5,0.36,0.4,0.14,0.71,0.3,0.36,,,0.39,0.62,0.04,1,,0.09,,,,0.67,0.28,0.11,66.25,0.39,58.71,,0.26,0.15,,,,0.17,0.36,0.74,,,0.1,0.06,0.08,,,0.09,0.12,,,,2.65,0.75,8.94,1.85,0.3,0.84,0.34,0.31,0.15,0.28,1.46,0.73,0.46,0.78,0.88,,0.25,0.24,,0.31,,,,0.9,,,,0,,,,,,349.48,461.98,0.35,0.56,62.1,,1,0.17,0.11,0.32,0.58,,,,,0.43,,,,,1.08,0.19,0.08,0.84,78.96,0.26,,,0.55,0.14,,0.96,0.31,0.29,0.18,,,,0.37,,9259.07,60797.04,18.56,,,2.35,0.64,0.08,9.94,33.68,,,0.75,,,0.11,,0,,0.03,0.01,0.41,0.91,0.7,,,,1,0.03,0.07,1,,,0.59,0.46,0.4,,,,0.15,0.23,0.35,0.13,,0.06,,,0.05,0.24,0.18,0.07,,3.45
SS0311,SS03,Refugees,0.44,0.53,0.04,0.03,0.09,2,,0.16,,,,,92.44,63.64,26.11,,,0.07,6,0.63,0,6,0.12,,,,,,47.3,0.16,,0.11,0.12,0.1,5,0.39,0.36,0.15,0.69,0.28,0.36,,,0.32,0.68,0.13,0,,0.12,,,,0.73,0.39,0.12,27.16,0.3,,,,0.2,,,,0.17,0.3,0.79,,,0.04,0.14,0.05,,,,0.06,0.26,,,2.38,0.72,8.51,1.39,0.38,0.9,0.33,0.32,0.15,0.23,1.46,0.79,0.56,0.88,0.89,,0.12,0.25,0.21,0.27,,,,1,30.05,,,,,,,,,295.05,343.13,0.46,0.42,25.23,,0,,0.07,0.35,0.67,,,,,0.51,0.18,,,,1.62,0.16,0.1,0.8,89.9,,0.41,,0.54,0.06,0.13,0.96,0.32,0.35,0.22,,0.67,,0.28,,5996.49,131403.18,15.7,,,3,0.63,,9.44,36.21,0.22,0.1,0.63,,,0.08,,0,,0.03,0.01,0.47,1,0.88,,0.93,0.89,1,0.02,0.1,,,,0.58,0.43,0.34,,,,0.11,0.25,0.29,,,0.15,0.11,,0.14,0.26,0.31,0.08,,3.58
